species|ecology|status|trends|world distribution
Polygonatum multiflorum|A rhizomatous perennial herb, native in Fraxinus-Acer campestre woods and thickets over chalk and limestone, and less frequently over non-acidic substrates. Lowland.|Native|P. multiflorum and P. x hybridum were not distinguished in the 1962 Atlas, so changes in their distribution are difficult to assess. P. multiflorum is often planted and its native range is difficult to define with certainty. Alien populations are certainly over-recorded for the hybrid P. x hybridum.|European Temperate element; also in C. and E. Asia.
Polygonatum odoratum|A rhizomatous, perennial herb of ancient Fraxinus woods, often growing in crevices and on outcrops of limestone. In N. England it is characteristic of grikes in limestone pavement. Generally lowland, but reaching 485 m on Craig y Cilau (Brecs.).|Native|Some populations of P. odoratum have been lost since the 1962 Atlas through the destruction of limestone pavement in the north of its range, but this threat is now much reduced and the distribution has probably stabilised. It is sometimes grown in gardens, and is occasionally naturalised when discarded or deliberately planted.|Eurasian Temperate element.     © P. Shannon
Polygonatum verticillatum|A rhizomatous, perennial herb usually found on moist, nutrient-rich, usually basic, soils in wooded gorges and on a wooded river bank. Plants reproduce vegetatively, by rhizomatous spread, but fruiting is generally poor, with recruitment from seed apparently very infrequent. Lowland.|Native|The distribution of P. verticillatum is stable, though some populations have been lost through erosion and habitat destruction. Flowering seems to be restricted by excessive shading at a number of localities and limited opportunities for cross-pollination further restrict seed production.|European Boreal-montane element.
Polygonum arenastrum|A prostrate annual of open and trampled ground, especially of well-drained soils, on tracks, paths, roadsides and weedy pavements, around ponds and field gateways. 0-450 m (near Birkdale, Westmorland).|Archaeophyte|P. arenastrum is widespread throughout Britain and Ireland, although often overlooked as P. aviculare. It has not been mapped previously on a national scale, having been included within P. aviculare agg. in the 1962 Atlas. Its distribution is not likely to have changed appreciably.|As an archaeophyte, P. arenastrum has a Eurasian Wide-temperate distribution; in recent centuries it has become widely naturalised outside this range.     © G. Toone, IWNHAS
Polygonum aviculare|An annual of open and disturbed ground, including arable land, gardens, waste places and seashores. The species remains a significant agricultural weed. 0-550 m (Northumberland), with an exceptional record at 670 m on Great Dun Fell (Westmorland).|Native|P. aviculare was mapped with other members of the aggregate in the 1962 Atlas, but it is most unlikely that there have been any changes in distribution. It is under-recorded in areas where the segregates of P. aviculare have not been distinguished. Almost all records from Shetland are now referred to P. boreale.|Circumpolar Wide-temperate element; widely naturalised outside its native range.     © Shannon, P
Polygonum aviculare agg.|These annuals of open, usually fertile, disturbed soils are commonly found in gardens, on arable land, tracks, paths, pavements, roadsides, waste ground, damp pond margins and on seashores. 0?670 m (Great Dun Fell, Westmorland).|Native|This aggregate includes the native P. aviculare sens. str. and P. boreale and the archaeophytes P. arenastrum and P. rurivagum; all four are mapped separately. A fifth species, P. neglectum, may be overlooked in Britain. In Norden, all these taxa are treated as subspecies (Jonsell, 2000).|A complex of closely related taxa which together have a Circumpolar Wide-temperate distribution.
Polygonum boreale|An annual of open and disturbed ground on roadsides and paths, cultivated land, sandy beaches, dunes and coastal shingle. In Orkney and Shetland it replaces P. aviculare and P. arenastrum, although it was formerly overlooked elsewhere due to confusion with these species. Lowland.|Native|P. boreale was not mapped separately in the 1962 Atlas, being included within P. aviculare agg., but was mapped by Perring & Sell (1968). Subsequent records have extended the known range along the N. coast of Scotland and in the Hebrides, with scattered, perhaps adventive, localities further south. It is likely still to be under-recorded.|Suboceanic Boreal-montane element; also in N. America.
Polygonum maritimum|A prostrate perennial herb of sand, shingle or shell beaches, growing above the limit of the highest tides with other strand-line and foredune plants. Lowland.|Native|The 1962 Atlas recorded this species from just four post-1930 sites in S.W. England (W. Cornwall, N. Devon and the Channel Islands). Records during the 1990s have considerably extended the known range. Its recent spread in England correlates with a run of mild winters and hot summers. In Ireland it persists at the site where it was discovered in 1973.|Mediterranean-Atlantic element.     © K.J. Walker, BSBI
Polygonum oxyspermum|A prostrate annual, biennial or short-lived perennial of sand, shingle or shell beaches, sometimes found on other open sandy ground near the sea, usually just above the limit of the highest tides. Lowland.|Native|There are now many more records for this species than in the 1962 Atlas, not only in N. England and Scotland, where it was patently under-recorded, but also Cornwall, Hampshire and Wales. Like other strand-line species, its numbers often fluctuate annually. Most populations are subsp. raii. Subsp. oxyspermum has been reported as a casual in Scotland, perhaps having arrived naturally from the Baltic region.|European Wide-temperate element; also in N. America.     © L. Rooney
Polygonum rurivagum|An annual of arable fields and more rarely of ruderal habitats, especially on light chalky soils and calcareous clays. Lowland.|Archaeophyte|The species was first mapped on a national scale by Perring & Sell (1968). Records since then have considerably extended the known range, and it may also be spreading with translocated topsoil. It is probably still under-recorded, as it is easily overlooked as P. aviculare.|As an archaeophyte P. rurivagum has a European Temperate distribution.     © K.J. Walker, BSBI
Polypodium cambricum|A perennial, rhizomatous fern of well-drained base-rich rocky substrates, often found on sheltered limestone cliffs, old quarry faces, castle walls built of limestone, and on old mortared walls. It is also found as an epiphyte, especially in Ireland, and on road banks. 0-460 m (Farreg-y-fran, Merioneth, and Malham Tarn, Mid-W. Yorks.).|Native|Many sites for P. cambricum have been found since it was mapped by Perring & Sell (1968). Some populations have been lost to scrub encroachment and masonry cleaning.|Mediterranean-Atlantic element; it reaches its northern limit at Lismore (Main Argyll).
Polypodium interjectum|An evergreen, perennial, rhizomatous fern that prefers more basic substrates than P. vulgare but can be found in acidic conditions where exposed to salt-laden air. It is found in a wide range of habitats such as mortared stone walls, hedge banks, rock exposures, mature sand dunes and as an epiphyte, especially near the sea. 0?820 m (Creag Meagaidh, Westerness).|Native|The increased number of records of this species since it was mapped by Perring & Sell (1968) and Jermy et al. (1978) is due to better recording and not to any real increase in its distribution. It is probably still under-recorded.|Suboceanic Temperate element.
Polypodium vulgare|An evergreen, perennial, rhizomatous fern of well-drained, predominantly acidic substrates, including dry-stone walls, roadside banks and rock outcrops. It also occurs as an epiphyte on Quercus and other deciduous trees, mainly in W. Britain and Ireland, and is also found in conifer plantations. It is very tolerant of exposure, growing, for example, on montane scree. 0?760 m (Beinn na Socaich, Westerness).|Native|There is little evidence for any change in the distribution of P. vulgare sens. str. It is probably under-recorded in Ireland and in some areas of Scotland but is rarer than P. interjectum in S.E. England.|European Boreo-temperate element.
Polypodium vulgare sens.lat.|These perennial rhizomatous ferns are found on a wide variety of natural and artificial rocky substrates. They also grow as epiphytes, especially in W. Britain and Ireland. 0?850 m (Breadalbanes, Mid Perth, and Mt Brandon, S. Kerry), possibly higher in W. Ross.|Native|The P. vulgare aggregate mapped here consists of diploid P. cambricum, tetraploid P. vulgare and hexaploid P. interjectum, and their hybrids. Although the segregates were described by Shivas (1960) and mapped by Perring & Sell (1968) and Jermy et al. (1978), they require microscopic examination for certain identification and are still under-recorded.|The aggregate has a Circumpolar Boreo-temperate distribution.
Polypogon monspeliensis|An annual of barish places by the sea, in damp, cattle-trodden grazing marshes, at the edges of dried-up brackish pools and ditches, and in the uppermost parts of saltmarshes. Also around docks and inland as a casual from wool, bird-seed and other sources. Lowland.|Native|The native distribution of P. monspeliensis is broadly similar to that mapped in the 1962 Atlas, and it occurs with similar frequency as a casual. However, several local floras (e.g. Brewis et al., 1996) report that pond and ditch infilling, and the drainage and conversion of coastal marshes to arable, are causing declines in native populations. It may be becoming established inland.|Mediterranean-Atlantic element; widely naturalised outside its native range.     © G. Toone, IWNHAS
Polystichum aculeatum|This evergreen species is characteristic of mountain gorges and steep wooded river valleys where it grows in thin but damp, mildly acidic to base-rich soils between rocks and in crevices. It also grows in the grikes of limestone pavement, on shady mortared walls, on hedge-banks, and around cave entrances and mine shafts. It is rarely plentiful in S. England, usually occurring as scattered individuals and only becoming common in the north of its range. 0?760 m (Breadalbanes, Mid Perth).|Native|There is little change in the distribution of this species, other than in S.E. England where it appears to have decreased since the 1962 Atlas.|Eurasian Temperate element.     © M. Bower, IWNHAS
Polystichum lonchitis|This evergreen species is a calcicole, growing in well-drained, cool and moist positions at the base of cliffs, on rocky ledges, and particularly in stabilised boulder-scree. It also grows in deep grikes of limestone pavements. P. lonchitis is a poor competitor, but is long-lived once established. From 180 m at Inchnadamph, W. Sutherland, but generally above 600 m and reaching 1150 m in the Breadalbanes (Mid Perth).|Native|Although some sites were lost to collecting before 1930, there has been little evidence of a change in the distribution since the 1962 Atlas.|Circumpolar Boreal-montane element, with a disjunct distribution.     © K.J. Walker, BSBI
Polystichum setiferum|This semi-evergreen fern is a moderate calcicole, occurring in shaded deciduous woodland, hedgerows, lane banks and sheltered streamsides, and also in the peaty bottoms of grikes in limestone pavement. It grows on a wide range of soil types, from those derived from sands to clays, but prefers sloping or well-drained ground. Generally lowland, but reaching 305 m on Walla Crag (Cumberland).|Native|There are many more records for this species than in the 1962 Atlas; these can be attributed to more efficient recording and there is little evidence for a change in its distribution.|Submediterranean-Subatlantic element.     © M. Cotterill, IWNHAS
Populus alba|A broad-crowned tree which is most frequent as a female in amenity plantings along roadsides and in parks; also in windbreaks and on coastal dunes, but rarely in plantations. It suckers freely and sometimes becomes well-established, forming dense thickets. It is resistant to salt-laden winds. Lowland.|Neophyte|There is no certain evidence for the presence of P. alba in Britain before 1500. It is usually said to have been brought from Holland in the 16th century, and was certainly recorded from the wild by 1597. It is now much planted, sometimes as distinct cultivars.|Native of S., C. & E. Europe, eastwards to C. Asia; widely naturalised north and west of its native range.     © G. Toone, IWNHAS
Populus alba x tremula (P. x canescens)|This broad-crowned tree often grows as a solitary, usually male, specimen or among native trees and shrubs. It is planted in windbreaks and as an amenity tree, especially in damp woods and by streams. Lowland.|Neophyte|P. x canescens was perhaps imported to our area as a hybrid, and was formerly planted for timber. The first certain record was made c. 1700. It is now much planted, but rarely becomes naturalised and probably rarely arises anew from the parents. It has increased in Scotland and N. Ireland since the 1962 Atlas, but seems stable elsewhere.|A hybrid which occurs naturally within the native range of P. alba, and has been spread beyond by planting.
Populus nigra sens.lat.||||
Populus tremula|A broad-crowned tree of moist clay or sandy soils in mixed broad-leaved woodlands, hedgerows, on heathland, in disused clay- and sand-pits, and occasionally in pine woods. In the north and west, it grows on cliffs, rocky outcrops and riverbanks, often as a shrub. It suckers to form thickets, and readily colonises bare ground. 0-640 m (Atholl, E. Perth).|Native|Like many trees, P. tremula may have been under-recorded in the 1962 Atlas. It has been planted for amenity and as food for browsing deer.|Eurasian Boreo-temperate element.     © H. Higgins, IWNHAS
Potamogeton acutifolius|This rhizomatous perennial has a very narrow habitat range, being confined to shallow, species-rich drainage ditches in lowland grazing marshes, where it typically grows in calcareous, mesotrophic or meso-eutrophic water. Although it fruits relatively freely and also produces turions, it shows little or no propensity to colonise new habitats. Lowland.|Native|P. acutifolius appears to be in gradual, long-term decline. Since 1960 it has decreased in Norfolk and become extinct in the London area and critically endangered in Dorset. However, several vigorous populations survive in Sussex.|European Temperate element.
Potamogeton alpinus|A rhizomatous perennial of still or slow-flowing water in lakes, rivers, canals, ditches and flooded mineral workings. P. alpinus is often found in sites where silt accumulates, such as lake inflows or backwaters in rivers. It characteristically grows in mesotrophic, often neutral or mildly acidic water. 0-945 m (Meall nan Tarmachan, Mid Perth).|Native|Many of the sites from which P. alpinus has been lost in England are small ponds, pits and ditches where it was last seen in the 19th century. There have been some further losses in England and S.E. Scotland from eutrophication, but the distribution elsewhere appears to be stable.|Circumpolar Boreal-montane element.
Potamogeton berchtoldii|A variable species which occurs in a wide range of still or slowly flowing waters, which may be base-rich or base-poor, oligotrophic, mesotrophic or eutrophic, and exposed or sheltered. P. berchtoldii is sometimes found in brackish sites, but is usually replaced in such habitats by P. pusillus. 0-710 m (Lochan nan Cat, Mid Perth).|Native|Until 1938, P. berchtoldii was confused with P. pusillus in our area. It is under-recorded by botanists who neglect linear-leaved pondweeds but may be over-recorded by others who fail to distinguish P. pusillus. Changes in its distribution are difficult to assess.|Circumpolar Boreo-temperate element.
Potamogeton coloratus|This rhizomatous perennial herb is found in shallow, calcium-rich but nutrient-poor waters in lakes, pools, clay-pits, shallow streams and ditches. It grows over a range of substrates, including peat, marl, sand and clay. Lowland.|Native|P. coloratus has declined over much of its British range, having been lost from many sites because of drainage or eutrophication. Many remaining localities are in nature reserves. It has, however, also colonised some new habitats since 1930, and the largest populations are currently those in abandoned brickfields in Peterborough. In Ireland it is still relatively frequent in the central plain.|European Southern-temperate element.     © L. Rooney
Potamogeton compressus|P. compressus, a rhizomatous perennial, has been recorded from a wide range of habitats: lakes, sluggish rivers, ditches, canals and flooded mineral workings. Its sites share a tendency to be still or slowly flowing, mesotrophic and slightly to moderately base-rich. Lowland.|Native|This species appears to have been in gradual decline for over a hundred and fifty years. It is almost extinct in lakes and rivers, and is declining in grazing marsh ditches. In Broadland populations have been lost since 1970. Some of the most vigorous surviving populations are in canals, especially the Montgomery branch of the Shropshire Union Canal.|Eurasian Boreo-temperate element.
Potamogeton crispus|P. crispus is a rhizomatous perennial which grows in a wide range of mesotrophic or eutrophic waters. These include lakes, ponds, rivers, streams, canals, ditches and disused mineral workings. It is more tolerant of eutrophication than most British Potamogeton species. Generally lowland, but reaching 350 m at Drumore Loch (E. Perth).|Native|This is one of the most distinctive Potamogeton species, and it is therefore relatively well recorded. There is little evidence for any change in its British or Irish distribution.|Eurasian Southern-temperate element, but naturalised in N. America so distribution is now Circumpolar Southern-temperate.
Potamogeton epihydrus|In the Outer Hebrides, this rhizomatous perennial grows in a few peaty lochans, in oligotrophic and base-poor water less than 1 m deep. It is also established in the mesotrophic Rochdale Canal and Calder & Hebble Navigation in N. England. Lowland.|Native|This species was first discovered in England near Halifax (S.W. Yorks.) in 1907; although it must be an introduction there, the manner of its arrival from N. America is unclear. It was not found in the Outer Hebrides, where it is native, until 1943, and there is no evidence for any subsequent change in its distribution there.|Oceanic Boreo-temperate element; in Europe restricted to Britain but widespread in N. America.
Potamogeton filiformis|This rhizomatous herb usually grows in open vegetation in the shallow edges of lakes. It is typically found over gravel, sand, silt or mud in sites where the water is base-rich, eutrophic or slightly brackish. It also occasionally grows in rivers, streams and ditches. 0-390 m at Drumore Loch (E. Perth), formerly at 735 m at Coire Dhubh-chlair (Mid Perth).|Native|P. filiformis was last collected in Anglesey in 1826, and it may have decreased in E. Scotland since 1960, as it can no longer be found at some sites. However, there is little evidence for any decline in N. Scotland or Ireland, where it may be under-recorded.|Circumpolar Boreal-montane element.
Potamogeton friesii|A rhizomatous perennial of calcareous and often rather eutrophic, still or very slowly flowing waters. These include lakes, sluggish rivers and streams, canals, fenland lodes and flooded mineral workings. Lowland.|Native|P. friesii expanded through the canal network, and subsequently declined as canals became disused or dominated by pleasure boat traffic. Like other linear-leaved pondweeds it is probably under-recorded. The distinction between P. friesii and P. pusillus is straightforward in England but becomes difficult in N. Scotland and some records may require reassessment.|Circumpolar Boreo-temperate element, with a disjunct distribution.
Potamogeton gramineus|This variable perennial is found in relatively shallow water in a variety of water bodies, including lakes, reservoirs, rivers, streams, canals and ditches. It tolerates a wide range of water quality, although it is absent both from the most acidic and oligotrophic sites and from the most eutrophic. It survives occasional, short-term desiccation. 0?915 m (Meall nan Tarmachan, Mid Perth).|Native|Like many aquatics, P. gramineus is better recorded than it was in the 1962 Atlas. However, it has declined in England since 1930 in areas where eutrophication and the conversion of grazing land to arable have reduced the number of suitable ditches.|Circumpolar Boreo-temperate element.
Potamogeton gramineus x lucens (P. x zizii)|This rhizomatous perennial grows in a range of mesotrophic, somewhat base-enriched waters including lakes, rivers, streams, fenland lodes and ditches. In N. Scotland and N.W. Ireland it often occurs in the absence of P. lucens. It is morphologically variable and some populations are sterile whereas others set well-formed fruit. 0?395 m (Loch na Craige, Mid Perth).|Native|There is little evidence for the decline of this hybrid in N.W. Ireland and W. Scotland, where it is probably still under-recorded. In E. Ireland, E. Scotland and England there is a clear decline, which matches that of P. lucens in Scotland and P. gramineus in England.|Widespread in temperate Europe.
Potamogeton gramineus x perfoliatus (P. x nitens)|This rhizomatous perennial is found in more or less mesotrophic water in lakes, reservoirs, rivers, streams, canals and ditches. In some sites it can be the most abundant macrophyte, sometimes occurring in the absence of one or even both parents. It is favoured by moderate fluctuations in water level, and can withstand short periods of desiccation. 0?640 m (Loch Oss, W. Perth).|Native|P. x nitens is a sterile hybrid which sometimes resembles P. gramineus very closely, and is almost certainly under-recorded. It has been lost from some sites in East Anglia, and was last recorded from the Basingstoke Canal (N. Hants.) in 1931.|Widespread in boreal and temperate regions of Europe and also recorded elsewhere in the N. hemisphere.
Potamogeton lucens|A rhizomatous perennial herb with submerged but no floating leaves, P. lucens grows in relatively deep, calcareous water in lakes, larger rivers, canals, flooded chalk- and gravel-pits and major fenland drains. It is found in clear, nutrient-poor, unpolluted waters as well as more eutrophic and turbid sites. 0?380 m (Malham Tarn, Mid-W. Yorks.).|Native|P. lucens remains frequent in some areas of England and Ireland, although there is evidence for decline in Surrey since 1930 and at the northern edge of its English range. It has declined more markedly in E. Scotland, apparently being more susceptible to eutrophication there.|Eurosiberian Temperate element.
Potamogeton natans|This rhizomatous perennial herb is frequent as a floating-leaved aquatic in still or slowly flowing waters, and more rarely found as plants with submerged phyllodes in more rapid streams and rivers. It has a very wide ecological tolerance, growing in oligotrophic to eutrophic and base-poor to base-rich water over a wide range of substrates. Although it may be found in shallow swamps, or in water over 5 m deep, it is most frequent at moderate depths of 1-2 metres. 0-760 m (below Stob Ban, Westerness).|Native|There is little evidence for any change in the distribution of P. natans since the 1962 Atlas.|Circumpolar Boreo-temperate element.     © P. Shannon
Potamogeton nodosus|This rhizomatous perennial herb is confined to a few calcareous and moderately eutrophic rivers. It grows in shallow or fairly deep water, apparently preferring gravelly substrates and avoiding soft clays. It reproduces vegetatively but does not fruit in Britain. Lowland.|Native|P. nodosus has a relatively stable distribution in the Bristol Avon, the Dorset Stour and the R. Loddon (Berks.). It is apparently extinct in the Thames, perhaps eliminated in the 1950s by eutrophication and increasing pleasure-boat traffic. The record from the Warwickshire Stour is based on a single, 19th century specimen. Recently, it has been planted at additional sites.|Circumpolar Southern-temperate element.
Potamogeton obtusifolius|A rhizomatous perennial characteristically found in mesotrophic or meso-eutrophic, acidic or neutral standing waters in lakes, ponds and flooded mineral workings, or in canals and the backwaters of rivers. It may, however, occupy a broader habitat range in areas such as N. Ireland where it is especially frequent. It fruits freely, and also reproduces by turions. 0-480 m (Angle Tarn, Patterdale, Westmorland).|Native|Although P. obtusifolius is better recorded than in the 1962 Atlas, the map suggests that it has declined throughout much of its British range. There is less evidence of decline in Ireland.|Circumpolar Boreo-temperate element, with a disjunct distribution.
Potamogeton pectinatus|This rhizomatous, linear-leaved aquatic is a characteristic species of eutrophic or brackish waters, where it may form dense stands in lakes, reservoirs, rivers, streams, canals, ditches, ponds and flooded mineral workings. It is tolerant of disturbance in canals and navigable rivers. It is occasionally found in highly calcareous but nutrient-poor lakes. Lowland.|Native|There is little evidence for any change in the distribution of this species. Any losses from habitat destruction have been compensated for by the ability of the species to colonise newly available habitats, such as flooded sand- and gravel-pits.|Circumpolar Wide-temperate element.
Potamogeton perfoliatus|A frequent macrophyte in larger water bodies, P. perfoliatus occasionally grows in oligotrophic sites but is more often found in mesotrophic or eutrophic conditions. It is a rhizomatous perennial that grows in shallow water in sites which are not prone to occasional desiccation, but is most vigorous at depths of 1 m or more. 0-780 m (Loch an Tairbh-uisge, Mid Perth).|Native|There is evidence for a decline of P. perfoliatus in some areas, such as Surrey and Cheshire. However it remains frequent in many regions, including some where more exacting Potamogeton species have declined.|Circumpolar Boreo-temperate element, with a disjunct distribution.
Potamogeton polygonifolius|This rhizomatous perennial herb may grow as an aquatic in shallow water in lakes, pools, the backwaters of rivers, streams and ditches, or in a dwarf, subterrestrial state in wet Sphagnum lawns or `brown moss` communities. It is usually restricted to acidic water, only rarely occurring in highly calcareous but nutrient-poor sites. 0-780 m (Lochan an Tairbh-uisge, Mid Perth).|Native|This species has declined in parts of S.E. England where suitable habitats have always been rare, and have been gradually reduced by habitat destruction, drainage or falling water-tables.|Suboceanic Temperate element; also in N. America.
Potamogeton praelongus|No Potamogeton species is more characteristic of deep water than P. praelongus. It is a rhizomatous perennial that usually grows at depths greater than 1 m in clear, mesotrophic water in lakes, rivers, canals and major drains. It has only rarely been recorded from shallow water. 0-800 m (Loch Coire Cheap, Mid Perth).|Native|P. praelongus appears to have been lost from many waters in the southern half of its range since 1930. The most likely cause of this decline is eutrophication. As a species of deeper water it can be inconspicuous, and it may be under-recorded in Scotland and Ireland.|Circumpolar Boreal-montane element.
Potamogeton pusillus|A rhizomatous perennial found in standing or slowly flowing water in sheltered lakes and reservoirs, ponds, rivers, canals, ditches and flooded mineral workings. It favours mesotrophic to eutrophic water and tolerates slightly brackish conditions. 0-320 m (Stony Middleton, Derbys.).|Native|P. pusillus and P. berchtoldii were confused in our area until 1938. Any assessment of changes in their distribution must therefore be based on very limited evidence, especially as they may still be under-recorded. However, comparison of pre-1930 and recent records suggests that P. pusillus may have increased in some areas, perhaps in response to eutrophication.|Circumpolar Southern-temperate element.     © K.J. Walker, BSBI
Potamogeton rutilus|This rhizomatous perennial grows submerged in unpolluted, mesotrophic or eutrophic lochs and adjoining streams, usually where there is some base-enrichment. It normally reproduces by turions, though it has recently been found fruiting in Scotland. Lowland.|Native|In 1962 P. rutilus was regarded as a very rare species, known only from the Outer Hebrides and Shetland. Intensive surveys of aquatic habitats have gradually revealed more colonies, and others doubtless remain to be discovered. It has apparently been lost from one site, Loch Flemington (Easterness), because of eutrophication.|European Boreal-montane element.
Potamogeton trichoides|P. trichoides is found in a range of still or slowly flowing, mesotrophic or eutrophic waters including lakes, ponds, rivers, canals, ditches and flooded mineral workings. It often colonises disturbed sites such as recently cleared canals and ditches. Lowland.|Native|Although the distribution of this elusive linear-leaved pondweed is better known now than at the time of the 1962 Atlas, it is probably still under-recorded as it is difficult to recognise, especially when growing with P. pusillus. There is evidence of a genuine increase in frequency since 1960 in the Somerset Levels, perhaps because of eutrophication.|Eurosiberian Southern-temperate element.
Potentilla anglica|A procumbent perennial of heaths, dry banks, woodland borders and field edges, usually on well-drained acidic soils, but avoiding podsols. It can also occur on waste ground and railway embankments. 0?410 m (Fron Hill, Rads.).|Native|P. anglica can be morphologically very similar to some forms of its hybrids with P. erecta or P. reptans, and the map may contain some errors. It was mapped as `all records` in the 1962 Atlas. The current map suggests a decline in S. and E. England and C. Ireland. Analysis of the database reveals that many of these losses have occurred since 1950.|European Temperate element; also in N. America.     © K.J. Walker, BSBI
Potentilla anserina|A stoloniferous perennial herb, occurring on dry, damp or periodically inundated soils in open grassy swards or on bare ground. Habitats include land subject to seasonal inundation with fresh or brackish water, upper saltmarsh, shorelines, dunes, rough ground and roadsides. It spreads vigorously by stolons, but fruiting is often poor. Generally lowland, but reaching 580 m at Hartside (Cumberland), and exceptionally at 845 m (Great Dun Fell, Westmorland).|Native|There has been no appreciable change in the distribution of this species since the 1962 Atlas.|Circumpolar Boreo-temperate element; widely naturalised outside its native range.     © P. Shannon
Potentilla argentea|A perennial herb of dry, freely-draining, gravelly or sandy soils, found in open grassy swards on commons, in pastures, on banks, in pits and on tracks and waste ground. Reproduction is by seed, but it does not readily colonise new sites. Lowland.|Native|The 1962 Atlas indicates a decline in P. argentea before 1930, and more sites have been lost subsequently. It may still be in slow decline, largely due to habitat loss. However, although populations can fluctuate dramatically in size they can be extremely long-lived.|Eurosiberian Temperate element; widely naturalised outside its native range.     © K.J. Walker, BSBI
Potentilla crantzii|A perennial herb of dry base-rich rock faces, cliffs and ledges, close-grazed calcareous grassland and, occasionally, river shingle. It is a pseudogamous apomict, reproducing mostly by seed, with very limited vegetative spread. Generally montane, reaching 1065 m on Ben Lawers (Mid Perth), but descending to 250 m in Assynt (W. Sutherland).|Native|Although some sites were lost before 1930, the distribution of this species seems to have been stable in recent years. Unlike P. neumanniana, British populations of P. crantzii are relatively homogeneous.|Eurosiberian Boreo-arctic Montane element; also in N. America.     © K.J. Walker, BSBI
Potentilla erecta|A perennial herb found in a wide variety of habitats on more or less acidic soils, including lowland, upland and montane grassland, hay- and fen-meadows, moorland and heathland, blanket and raised mires, open woodland, wood borders and hedge banks. It is unpalatable to stock. 0-1040 m (Carrantuohill, S. Kerry).|Native|The distribution of P. erecta is stable, other than in S.E. England where a decline has taken place. Local floras indicate that these losses have occurred since 1950. Two subspecies are recognised; subsp. erecta is found throughout the range of the species and subsp. strictissima is mapped separately.|Eurosiberian Boreo-temperate element.     © P. Shannon
Potentilla fruticosa|In England, this shrub is found on basic, damp rock ledges and silty, sandy or gravelly river-flats liable to inundation. In Ireland, it occurs in rocky places subject to flooding, usually around loughs and turloughs. It also occurs as a garden escape or relic in waste places. 0-700 m (Pillar, Cumberland).|Native|Drainage and land clearance have caused some losses of this species in Ireland, and some English populations were lost before 1940. However, the current native distribution is stable and alien plants are increasing in frequency.|Circumpolar Boreal-montane element, but absent from Scandinavia and with a disjunct distribution elsewhere.
Potentilla neumanniana|An apomictic, perennial, mat-forming herb of undisturbed, dry, basic, open habitats including coastal limestone rocks, inland rocks, crags and screes on limestones and other basic rocks, and dry chalk grassland. Reproduction is by seed and by rooting stolons. Generally lowland, but reaching 335 m at Crosby Ravensworth (Westmorland); there are old records at 610 m from Loch Loch (E. Perth).|Native|This species has declined or been lost from many sites in S. England, particularly those on chalk and sand (such as Breckland). Populations on limestone crags and cliffs appear to be more stable. P. neumanniana is morphologically and cytologically variable.|European Temperate element.
Potentilla palustris|A rhizomatous perennial herb found in permanently flooded swamps, and in mires and wet meadows where the summer water table lies below the soil surface. It prefers nutrient-poor but slightly to moderately base-rich water and grows on a wide range of soils. Habitats include the edges of lakes, natural hollows, bog pools, peat cuttings and floating rafts of vegetation. 0-800 m (Tom a`Choinnich, E. Ross).|Native|P. palustris was mapped as `all records` in the 1962 Atlas. It has declined since that date in S. and E. England and S. Ireland through drainage, agricultural improvement and a lack of grazing.|Circumpolar Boreo-temperate element.
Potentilla reptans|A perennial herb of woodland rides, grassland, hedgerows, banks and roadsides, and waste and cultivated ground, generally on neutral to basic soils. It reproduces by seed and spreads rapidly by runners. Generally lowland, reaching 415 m at Stainmore (Westmorland).|Native|The distribution of P. reptans is generally stable. It may only be present as an introduction at scattered localities in Scotland north of its main range.|Eurosiberian Southern-temperate element; widely naturalised outside its native range.     © Shannon, P
Potentilla rupestris|A perennial herb which, in three of its four native sites, grows in thin, dry soils in open, rocky or cliff habitats subject to summer drought. It grows over basic igneous rocks, but usually on mildly acidic soils. The southernmost site in Wales is a rock platform by a river, partially shaded by trees. Lowland.|Native|All populations are small, but currently appear to be more or less stable. The Craig Breidden (Monts.) site was much affected in the past by quarrying and the plant came close to extinction there, but the population has been bolstered by transplants.|Mediterranean-montane element; widely naturalised outside its native range.
Potentilla sterilis|A perennial herb of relatively infertile, dry but not droughted soils in open woods, woodland margins, scrub, grassy hedge banks and rock crevices; also occasionally in meadows and on walls. In the lowlands it is usually found in partially shaded sites but it extends into open habitats in upland areas. 0-790 m (Helvellyn, Cumberland).|Native|There is no change in the distribution of P. sterilis since the 1962 Atlas.|Suboceanic Temperate element; also in N. America.     © P. Shannon
Primula elatior|A perennial herb of woods dominated by Acer campestre, Corylus, Fraxinus and Quercus robur on damp chalky boulder-clay soils, especially where seasonal flooding occurs; rarely in wet Alnus woods, damp meadows and ancient hedgerows. Lowland.|Native|Agricultural improvement has all but eliminated this species from meadows since 1930, and in woodland numbers are reduced when coppicing ceases or conifers planted. Recently, increasing numbers of flowers have been eaten by deer. However, this has resulted in little change in the 10-km distribution.|European Temperate element, with a continental distribution in W. Europe; also in C. Asia.
